Date,Open,High,Low,Close,Adj Close,Volume
2016-05-07,53.200001,55.939999,52.619999,54.349998,50.958775,19711875
2016-05-14,54.400002,57.240002,54.299999,55.180000,51.736984,12385889
2016-05-21,55.720001,57.000000,55.049999,55.400002,51.943264,12807157
2016-05-28,55.009998,55.750000,53.330002,54.459999,51.061913,22500231
2016-06-04,54.380001,56.270000,53.049999,53.680000,50.330582,9789412
2016-06-11,53.700001,56.299999,52.000000,55.580002,52.112034,16696244
2016-06-18,55.860001,58.169998,54.090000,55.560001,52.093277,10736923
2016-06-25,55.480000,58.990002,54.049999,58.020000,54.399788,10042574
2016-07-02,57.900002,60.860001,56.000000,56.790001,53.246529,8801342
2016-07-09,56.790001,59.730000,56.360001,58.770000,55.102989,11513108
2016-07-16,58.459999,59.500000,57.750000,58.820000,55.149868,9155115
2016-07-23,59.000000,59.369999,55.500000,55.889999,52.402683,13504552
2016-07-30,56.000000,56.099998,54.000000,55.560001,52.093277,12790337
2016-08-06,55.549999,56.500000,54.900002,55.180000,51.736984,12502303
2016-08-13,55.259998,56.200001,54.500000,55.160000,51.718239,9569516
2016-08-20,55.099998,55.950001,53.000000,53.349998,50.021172,7668620
2016-08-27,53.509998,54.939999,52.750000,54.880001,51.455708,10303889
2016-09-03,54.799999,54.799999,53.080002,53.520000,50.180569,7723895
2016-09-10,53.320000,54.250000,50.200001,51.220001,48.024078,23786385
2016-09-17,51.220001,53.750000,50.660000,53.549999,50.208698,12497072
2016-09-24,53.470001,54.889999,50.900002,51.110001,47.920944,11181550
2016-10-01,51.110001,53.599998,51.099998,51.669998,48.445999,8346476
2016-10-08,51.810001,53.200001,50.759998,51.799999,48.567886,11343848
2016-10-15,52.430000,53.509998,51.000000,51.660000,48.436623,8715208
2016-10-22,51.910000,52.250000,50.020000,51.419998,48.211594,8003468
2016-10-29,51.160000,51.160000,48.529999,49.669998,46.570789,10860798
2016-11-05,50.000000,52.990002,49.000000,49.930000,46.814571,25666295
2016-11-12,50.000000,52.700001,46.400002,46.549999,43.645462,17414230
2016-11-19,46.549999,48.849998,46.549999,48.570000,45.539429,6348167
2016-11-26,48.049999,48.500000,45.169998,45.369999,42.539093,13988911
2016-12-03,45.689999,48.200001,45.660000,47.360001,44.404930,11668469
2016-12-10,47.360001,48.150002,45.540001,45.750000,42.895390,14738682
2016-12-17,45.750000,46.119999,43.900002,44.540001,41.760883,8704671
2016-12-24,45.200001,47.099998,44.090000,47.009998,44.076767,8028466
2016-12-31,46.990002,48.049999,46.009998,47.619999,44.648701,8798509
2017-01-07,47.619999,47.880001,46.000000,46.509998,43.607960,9465763
2017-01-14,46.869999,46.889999,45.009998,45.310001,42.482841,8283480
2017-01-21,45.310001,49.500000,45.310001,47.459999,44.498680,11549096
2017-01-28,47.459999,47.750000,45.599998,47.500000,44.536194,10365178
2017-02-04,47.500000,48.950001,46.230000,48.439999,45.417534,8147958
2017-02-11,48.189999,48.619999,47.029999,47.560001,44.592449,5470675
2017-02-18,47.270000,48.500000,46.650002,46.950001,44.020504,5965373
2017-02-25,46.900002,47.750000,46.009998,46.939999,44.011131,9411948
2017-03-04,46.560001,47.500000,46.049999,46.520000,43.617344,5564678
2017-03-11,46.049999,47.619999,45.230000,47.320000,44.367416,14112525
2017-03-18,47.320000,48.290001,46.450001,47.570000,44.601822,6287311
2017-03-25,47.520000,48.599998,46.220001,46.590000,43.682972,9989240
2017-04-01,46.990002,47.980000,46.299999,47.020000,44.086140,13565632
2017-04-08,47.020000,47.020000,45.200001,45.279999,42.454712,3736936
2017-04-15,45.970001,47.040001,44.990002,46.950001,44.020504,9589483
2017-04-22,47.139999,47.700001,45.250000,46.080002,43.204796,11164773
2017-04-29,46.080002,46.849998,44.650002,45.139999,42.586494,5325365
2017-05-06,45.439999,46.360001,44.950001,45.840000,43.246895,6968994
2017-05-13,45.990002,46.490002,45.000000,45.590000,43.011036,8881894
2017-05-20,45.029999,45.529999,43.599998,44.820000,42.284595,15638759
2017-05-27,44.410000,46.500000,41.959999,46.380001,43.756351,21636983
2017-06-03,45.700001,46.880001,45.410000,45.820000,43.228024,9105753
2017-06-10,45.560001,47.759998,45.000000,47.119999,44.454487,29580262
2017-06-17,46.990002,47.330002,45.320000,46.169998,43.558224,11406373
2017-06-24,45.779999,46.330002,44.400002,45.599998,43.020470,9032448
2017-07-01,45.020000,45.959999,44.250000,45.000000,42.454414,7584690
2017-07-08,44.820000,46.400002,44.709999,46.270000,43.652569,13004273
2017-07-15,46.590000,46.720001,45.549999,46.619999,43.982765,8555716
2017-07-22,46.750000,47.849998,44.889999,45.119999,42.567619,11926855
2017-07-29,44.610001,45.619999,43.810001,43.959999,41.473244,10895978
2017-08-05,43.959999,45.320000,43.439999,43.540001,41.077003,11843129
2017-08-12,43.990002,44.889999,42.400002,43.029999,40.595848,11055291
2017-08-19,43.150002,44.570000,42.900002,44.419998,41.907219,7716543
2017-08-26,44.689999,44.689999,42.740002,43.369999,40.916618,9878603
2017-09-02,43.009998,43.700001,42.700001,43.320000,40.869446,5357513
2017-09-09,43.660000,44.619999,43.009998,44.349998,41.841179,12061514
2017-09-16,43.650002,44.500000,42.500000,42.810001,40.388298,6349467
2017-09-23,42.980000,44.330002,42.610001,43.970001,41.482677,13304267
2017-09-30,44.230000,46.000000,43.930000,45.830002,43.237461,8450503
2017-10-07,45.980000,46.000000,44.810001,45.520000,42.945000,9041703
2017-10-14,45.520000,45.950001,43.930000,44.020000,41.529850,7593313
2017-10-21,43.830002,45.700001,43.799999,45.009998,42.463844,10211248
2017-10-28,44.779999,45.369999,43.259998,45.110001,42.558189,9274437
2017-11-04,45.240002,46.599998,43.509998,43.709999,41.237385,8465314
2017-11-11,43.919998,44.779999,43.299999,43.669998,41.199646,11970252
2017-11-18,43.669998,45.000000,43.669998,44.270000,41.765705,6886483
2017-11-25,44.700001,44.980000,42.820000,43.450001,40.992100,13933621
2017-12-02,43.209999,44.189999,42.180000,42.650002,40.237347,12687731
2017-12-09,42.509998,44.660000,42.250000,44.090000,41.595886,16827950
